,prec,pet
0,6.3464807,0.11689497716894977
1,16.927614900000002,0.11689497716894977
2,16.9056167,0.11689497716894977
3,6.709450999999999,0.11689497716894977
4,9.6242125,0.11689497716894977
5,8.4253106,0.11689497716894977
6,2.6507831,0.11689497716894977
7,8.5243025,0.11689497716894977
8,8.3703151,0.11689497716894977
9,11.274077499999999,0.11689497716894977
10,8.9202701,0.11689497716894977
11,5.3125653,0.11689497716894977
12,0.0,0.11689497716894977
13,0.0,0.11689497716894977
14,0.0,0.11689497716894977
15,0.0,0.11689497716894977
16,0.0,0.11689497716894977
17,0.0,0.11689497716894977
18,0.0,0.11689497716894977
19,0.0,0.11689497716894977
20,0.0,0.11689497716894977
21,0.0,0.11689497716894977
22,0.0,0.11689497716894977
23,0.0,0.11689497716894977
24,0.0,0.11689497716894977
25,0.0,0.11689497716894977
26,0.0,0.11689497716894977
27,0.0,0.11689497716894977
28,0.0,0.11689497716894977
29,0.0,0.11689497716894977
30,0.0,0.11689497716894977
31,0.0,0.11689497716894977
32,0.0,0.11689497716894977
33,0.0,0.11689497716894977
34,0.0,0.11689497716894977
35,0.0,0.11689497716894977
36,0.0,0.11689497716894977
37,0.0,0.11689497716894977
38,0.0,0.11689497716894977
39,0.0,0.11689497716894977
40,0.0,0.11689497716894977
41,0.0,0.11689497716894977
42,0.0,0.11689497716894977
43,0.0,0.11689497716894977
44,0.0,0.11689497716894977
45,0.0,0.11689497716894977
46,0.0,0.11689497716894977
47,0.0,0.11689497716894977
48,0.0,0.11689497716894977
49,0.0,0.11689497716894977
50,0.0,0.11689497716894977
51,0.0,0.11689497716894977
52,0.0,0.11689497716894977
53,0.0,0.11689497716894977
54,0.0,0.11689497716894977
55,0.0,0.11689497716894977
56,0.0,0.11689497716894977
57,0.0,0.11689497716894977
58,0.0,0.11689497716894977
59,0.0,0.11689497716894977
60,0.0,0.11689497716894977
61,0.0,0.11689497716894977
62,0.0,0.11689497716894977
63,0.0,0.11689497716894977
64,0.0,0.11689497716894977
65,0.0,0.11689497716894977
66,0.0,0.11689497716894977
67,0.0,0.11689497716894977
68,0.0,0.11689497716894977
69,0.0,0.11689497716894977
70,0.0,0.11689497716894977
71,0.0,0.11689497716894977
72,0.0,0.11689497716894977
73,0.0,0.11689497716894977
74,0.0,0.11689497716894977
75,0.0,0.11689497716894977
76,0.0,0.11689497716894977
77,0.0,0.11689497716894977
78,0.0,0.11689497716894977
79,0.0,0.11689497716894977
80,0.0,0.11689497716894977
81,0.0,0.11689497716894977
82,0.0,0.11689497716894977
83,0.0,0.11689497716894977
84,0.0,0.11689497716894977
85,0.0,0.11689497716894977
86,0.0,0.11689497716894977
87,0.0,0.11689497716894977
88,0.0,0.11689497716894977
89,0.0,0.11689497716894977
90,0.0,0.11689497716894977
91,0.0,0.11689497716894977
92,0.0,0.11689497716894977
93,0.0,0.11689497716894977
94,0.0,0.11689497716894977
95,0.0,0.11689497716894977
96,0.0,0.11689497716894977
97,0.0,0.11689497716894977
98,0.0,0.11689497716894977
99,0.0,0.11689497716894977
100,0.0,0.11689497716894977
101,0.0,0.11689497716894977
102,0.0,0.11689497716894977
103,0.0,0.11689497716894977
104,0.0,0.11689497716894977
105,0.0,0.11689497716894977
106,0.0,0.11689497716894977
107,0.0,0.11689497716894977
108,0.0,0.11689497716894977
109,0.0,0.11689497716894977
110,0.0,0.11689497716894977
111,0.0,0.11689497716894977
112,0.0,0.11689497716894977
113,0.0,0.11689497716894977
114,0.0,0.11689497716894977
115,0.0,0.11689497716894977
116,0.0,0.11689497716894977
117,0.0,0.11689497716894977
118,0.0,0.11689497716894977
119,0.0,0.11689497716894977
