EventID,Duration,TimeStep,Region,Area,Increments
5347,720,30,Murray Basin,100,2.61,3.49,3.84,2.76,2.66,3.64,3.36,3.48,4.31,4.19,5.55,4.81,5.75,6.57,7.18,6.52,5.39,4.99,3.95,3.61,2.82,2.46,3.39,2.67
5348,720,30,Murray Basin,100,1.89,2.04,1.92,2.09,2.75,3.63,3.65,2.65,3.16,3.91,4.58,6.13,5.34,5.7,5.48,5.71,2.64,2.45,0.71,3.65,7.02,8.63,9.93,4.34
5349,720,30,Murray Basin,100,3.31,8.3,10.62,4.58,3.09,5.14,3.15,4.58,6.84,3.38,6.15,7.08,7.91,3.81,2.21,2.55,2.02,1.57,2.69,2.83,2.97,1.59,1.71,1.92
5350,720,30,Murray Basin,100,3.34,4.96,2.46,1.88,2.09,0.8,0.49,1.07,0.48,1.25,2.02,1.04,1.33,6.17,4.33,3.81,6.92,9.79,10.22,16.79,8.15,5.72,3.23,1.66
5351,720,30,Murray Basin,100,1.8,1.69,3.01,2.42,5.89,1.42,1.37,0.36,1.95,7.18,6.26,6.81,8.24,6.68,3.85,4.35,5.52,3.6,4.05,3.6,5.53,4.6,5.56,4.26
5352,720,30,Murray Basin,100,2.34,1.72,1.95,1.54,1.16,2.03,3.71,6.17,7.16,6.5,4.89,5.16,4.49,3.12,2.7,3.21,6.41,5.84,5.92,5.68,3.05,5.64,6.06,3.55
5353,720,30,Murray Basin,100,0.05,0.11,0.85,1.16,1.88,4.61,5.85,8.02,7.81,4.58,3.26,2.38,6.76,7.24,4.7,5.44,1.78,0.92,3.76,5,6.61,10.79,3.5,2.94
5354,720,30,Murray Basin,100,4.88,37.49,6.89,2.13,4.73,3.01,0.09,0.11,0.55,0.7,1.49,0.36,2.28,2.44,5.02,3.36,2.94,1.36,2.04,3.33,10.15,3.78,0.83,0.04
5355,720,30,Murray Basin,100,3.49,5.29,5.38,5.34,6.72,5.6,5.22,5.49,4.97,4.18,3.86,3.45,4.02,3.1,2.79,2.98,3.59,4.53,3.37,3.66,3.28,3.68,3.35,2.66
5356,720,30,Murray Basin,100,0.84,1.16,0.78,0.38,0.61,1.99,2.7,2.77,3.52,6.12,6.96,7.72,11.54,10.75,10.51,7.71,6.12,7.67,3.92,1.61,1.35,0.85,1.74,0.68
5357,720,30,Murray Basin,200,2.6,3.44,3.82,2.75,2.65,3.62,3.36,3.48,4.28,4.17,5.49,4.82,5.72,6.59,7.19,6.5,5.4,5.01,4.02,3.66,2.91,2.47,3.36,2.69
5358,720,30,Murray Basin,200,2.04,2.19,2,2.07,2.73,3.56,3.72,3.17,3.27,3.87,4.48,5.98,5.71,5.88,5.4,5.31,2.3,2.25,1.13,3.82,6.89,8.68,10.2,3.35
5359,720,30,Murray Basin,200,3.37,4.87,4.17,2.54,3.36,1.59,0.9,1.14,0.63,1.67,2.01,1.03,0.62,3.18,4.67,4.22,5.71,6.42,11.03,14.44,9.28,4.65,5.82,2.68
5360,720,30,Murray Basin,200,3.12,7.61,9.54,4.5,3.14,5,3.2,4.53,6.5,3.18,5.94,7.21,8.18,4.28,2.33,2.66,2.4,1.87,3.02,2.86,3.03,1.77,2,2.13
