EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
5401,Murray Basin,Murray Basin,720,30,76.52,5000,2.3,0.7853982,3059,-37.3875,145.5125
5402,Murray Basin,Murray Basin,720,30,74.88,5000,3.6,1.5707963,2311,-36.6875,146.9125
5403,Murray Basin,Murray Basin,720,30,73.6,5000,3.6,1.5707963,393,-35.0875,148.0125
5404,Murray Basin,Murray Basin,720,30,71.21,5000,1.5,2.3561945,2163,-36.1875,149.4125
5405,Murray Basin,Murray Basin,720,30,70,5000,3.6,1.5707963,1374,-35.2875,149.2125
5406,Murray Basin,Murray Basin,720,30,68.73,5000,1.5,0,2846,-33.8875,148.8125
5407,Murray Basin,Murray Basin,720,30,85.33,10000,2.3,1.5707963,789,-35.3875,149.5125
5408,Murray Basin,Murray Basin,720,30,77.56,10000,1.5,1.5707963,1920,-35.3875,149.0125
5409,Murray Basin,Murray Basin,720,30,75.9,10000,1.5,0.7853982,3059,-37.3875,145.5125
5410,Murray Basin,Murray Basin,720,30,74.26,10000,2.3,1.5707963,2309,-36.6875,146.9125
5411,Murray Basin,Murray Basin,720,30,70.78,10000,2.3,1.5707963,393,-35.0875,147.9125
5412,Murray Basin,Murray Basin,720,30,69.73,10000,1.5,1.5707963,1837,-36.8875,142.9125
5413,Murray Basin,Murray Basin,720,30,67.02,10000,1.5,0.7853982,221,-36.5875,146.6125
5414,Murray Basin,Murray Basin,720,30,67.01,10000,1.5,2.3561945,325,-37.2875,143.4125
5415,Murray Basin,Murray Basin,720,30,66.95,10000,2.3,0,2846,-34.3875,148.7125
5416,Murray Basin,Murray Basin,720,30,66.82,10000,1.5,1.5707963,1877,-36.6875,146.0125
5417,Murray Basin,Murray Basin,720,30,84.36,20000,3.6,1.570796,182,-34.7375,149.3875
5418,Murray Basin,Murray Basin,720,30,69.93,20000,1.5,1.570796,790,-35.4875,149.5125
5419,Murray Basin,Murray Basin,720,30,64.37,20000,1.5,0,3056,-37.2375,145.8875
5420,Murray Basin,Murray Basin,720,30,61.06,20000,1.5,1.570796,2310,-36.7375,146.8875
5421,Murray Basin,Murray Basin,720,30,59.65,20000,2.3,1.570796,399,-36.2375,142.8875
5422,Murray Basin,Murray Basin,720,30,59.36,20000,2.3,0,2846,-34.1125,148.8875
5423,Murray Basin,Murray Basin,720,30,57.52,20000,3.6,0,2233,-36.3625,149.1375
5424,Murray Basin,Murray Basin,720,30,55.81,20000,1.5,1.570796,222,-36.4875,146.5125
5425,Murray Basin,Murray Basin,720,30,55.24,20000,2.3,1.570796,562,-34.2375,149.6375
5426,Murray Basin,Murray Basin,720,30,54.98,20000,1.5,1.570796,1838,-36.8625,142.8875
5427,Murray Basin,Murray Basin,720,30,75.52,40000,2.3,1.570796,182,-34.6125,149.1375
5428,Murray Basin,Murray Basin,720,30,57.47,40000,2.3,2.356194,3056,-37.2375,145.7625
5429,Murray Basin,Murray Basin,720,30,53.64,40000,1.5,0,2846,-34.2375,149.0125
5430,Murray Basin,Murray Basin,720,30,53.59,40000,1.5,1.570796,2233,-37.1125,147.6375
5431,Murray Basin,Murray Basin,720,30,47.92,40000,2.3,1.570796,971,-37.2375,146.2625
5432,Murray Basin,Murray Basin,720,30,47.35,40000,1.5,1.570796,1376,-34.8625,148.8875
5433,Murray Basin,Murray Basin,720,30,47.47,40000,1.5,0,2310,-35.9875,146.8875
5434,Murray Basin,Murray Basin,720,30,46.4,40000,1.5,0,2644,-36.2375,149.2625
5435,Murray Basin,Murray Basin,720,30,43,40000,1.5,2.356194,1924,-34.9875,148.6375
5436,Murray Basin,Murray Basin,720,30,41.67,40000,1.5,2.356194,3377,-36.3625,144.6375
5437,Murray Basin,Murray Basin,1080,60,219.712,100,1.5,0,1919,-35.4125,148.8375
5438,Murray Basin,Murray Basin,1080,60,141.514,100,1.5,0.7853982,3054,-37.4625,145.2375
5439,Murray Basin,Murray Basin,1080,60,125.57,100,1.5,0.7853982,2303,-36.6625,147.4375
5440,Murray Basin,Murray Basin,1080,60,122.887,100,1.5,1.5707963,1371,-35.1875,149.1125
5441,Murray Basin,Murray Basin,1080,60,121.262,100,1.5,1.5707963,1065,-35.5125,148.8875
5442,Murray Basin,Murray Basin,1080,60,113.472,100,1.5,0,649,-35.3875,148.9625
5443,Murray Basin,Murray Basin,1080,60,108.22,100,1.5,0,1362,-35.4625,148.8375
5444,Murray Basin,Murray Basin,1080,60,107.808,100,3.6,1.5707963,1295,-35.7375,149.3875
5445,Murray Basin,Murray Basin,1080,60,101.122,100,1.5,1.5707963,2645,-35.3625,148.9625
5446,Murray Basin,Murray Basin,1080,60,100.781,100,1.5,0,2306,-36.8125,146.3875
5447,Murray Basin,Murray Basin,1080,60,210.946,200,2.3,0,1919,-35.4125,148.8375
5448,Murray Basin,Murray Basin,1080,60,166.266,200,2.3,1.5707963,1872,-36.7375,146.4375
5449,Murray Basin,Murray Basin,1080,60,137.776,200,2.3,0.7853982,3054,-37.4625,145.2375
5450,Murray Basin,Murray Basin,1080,60,125.683,200,1.5,0,1897,-35.3625,148.8375
5451,Murray Basin,Murray Basin,1080,60,118.954,200,2.3,0.7853982,2303,-36.6625,147.4125
5452,Murray Basin,Murray Basin,1080,60,118.615,200,2.3,0.7853982,3059,-36.7625,146.3375
5453,Murray Basin,Murray Basin,1080,60,116.668,200,2.3,1.5707963,1067,-35.5125,148.9375
5454,Murray Basin,Murray Basin,1080,60,113.355,200,2.3,0,1370,-35.4375,149.0375
5455,Murray Basin,Murray Basin,1080,60,111.059,200,3.6,1.5707963,1295,-35.7125,149.4125
5456,Murray Basin,Murray Basin,1080,60,102.016,200,1.5,0,1362,-35.4625,148.8375
5457,Murray Basin,Murray Basin,1080,60,187.656,500,1.5,0.7853982,1919,-35.4125,148.8375
5458,Murray Basin,Murray Basin,1080,60,151.858,500,2.3,1.5707963,1872,-36.7375,146.3625
5459,Murray Basin,Murray Basin,1080,60,131.307,500,2.3,2.3561945,787,-35.5375,149.4375
5460,Murray Basin,Murray Basin,1080,60,128.231,500,2.3,0.7853982,3054,-37.4625,145.2375
5461,Murray Basin,Murray Basin,1080,60,119.976,500,2.3,1.5707963,1298,-35.6875,149.4625
5462,Murray Basin,Murray Basin,1080,60,111.082,500,2.3,1.5707963,2162,-36.1125,149.3625
5463,Murray Basin,Murray Basin,1080,60,110.946,500,2.3,0.7853982,3059,-36.7375,146.3375
5464,Murray Basin,Murray Basin,1080,60,110.245,500,2.3,1.5707963,1068,-35.5375,148.9625
5465,Murray Basin,Murray Basin,1080,60,110.086,500,1.5,0.7853982,1897,-35.3625,148.8375
5466,Murray Basin,Murray Basin,1080,60,108.572,500,2.3,1.5707963,2303,-36.6625,147.3875
5467,Murray Basin,Murray Basin,1080,60,158.63,1000,1.5,0.7853982,1919,-35.4875,148.7625
5468,Murray Basin,Murray Basin,1080,60,144.51,1000,2.3,1.5707963,1872,-36.7375,146.3125
5469,Murray Basin,Murray Basin,1080,60,118.6,1000,3.6,1.5707963,3054,-37.4875,145.3125
5470,Murray Basin,Murray Basin,1080,60,114.07,1000,1.5,1.5707963,2162,-36.1375,149.5125
5471,Murray Basin,Murray Basin,1080,60,111.43,1000,1.5,1.5707963,2301,-36.9375,146.3625
5472,Murray Basin,Murray Basin,1080,60,98.1,1000,2.3,1.5707963,1069,-35.5875,149.0625
5473,Murray Basin,Murray Basin,1080,60,94.32,1000,1.5,1.5707963,1896,-35.3875,148.8625
5474,Murray Basin,Murray Basin,1080,60,95.71,1000,1.5,2.3561945,1708,-35.8875,149.4625
5475,Murray Basin,Murray Basin,1080,60,91.76,1000,2.3,0,2574,-37.2375,144.2625
5476,Murray Basin,Murray Basin,1080,60,84.6,1000,2.3,1.5707963,2426,-36.7375,146.9125
5477,Murray Basin,Murray Basin,1080,60,138.3,2500,1.5,0,1919,-35.3875,148.8625
5478,Murray Basin,Murray Basin,1080,60,117.89,2500,2.3,2.3561945,1872,-36.6875,146.0625
5479,Murray Basin,Murray Basin,1080,60,103.11,2500,3.6,0,3051,-37.5875,145.6625
5480,Murray Basin,Murray Basin,1080,60,94.85,2500,3.6,1.5707963,1372,-35.2375,149.5125
5481,Murray Basin,Murray Basin,1080,60,93.83,2500,2.3,1.5707963,2164,-36.1375,149.4625
5482,Murray Basin,Murray Basin,1080,60,93.78,2500,3.6,1.5707963,1300,-35.5875,149.3625
5483,Murray Basin,Murray Basin,1080,60,90.97,2500,1.5,1.5707963,2307,-36.6875,146.9625
5484,Murray Basin,Murray Basin,1080,60,90.85,2500,3.6,0.7853982,218,-36.5375,146.6625
5485,Murray Basin,Murray Basin,1080,60,89.87,2500,3.6,0,813,-36.9375,142.4625
5486,Murray Basin,Murray Basin,1080,60,89.08,2500,1.5,1.5707963,2304,-36.6375,147.4125
5487,Murray Basin,Murray Basin,1080,60,122.08,5000,3.6,1.5707963,786,-35.4875,149.5125
5488,Murray Basin,Murray Basin,1080,60,116.78,5000,1.5,1.5707963,1919,-35.3875,148.8125
5489,Murray Basin,Murray Basin,1080,60,102.03,5000,2.3,1.5707963,1871,-36.5875,146.0125
5490,Murray Basin,Murray Basin,1080,60,95.32,5000,3.6,0.7853982,3055,-37.2875,145.2125
5491,Murray Basin,Murray Basin,1080,60,91.67,5000,3.6,0,180,-35.0875,148.8125
5492,Murray Basin,Murray Basin,1080,60,91.55,5000,3.6,1.5707963,392,-35.0875,148.0125
5493,Murray Basin,Murray Basin,1080,60,84.91,5000,3.6,1.5707963,2309,-36.6875,146.9125
5494,Murray Basin,Murray Basin,1080,60,83.96,5000,3.6,2.3561945,2163,-36.1875,149.4125
5495,Murray Basin,Murray Basin,1080,60,83.31,5000,3.6,1.5707963,1370,-35.2875,149.2125
5496,Murray Basin,Murray Basin,1080,60,81.21,5000,3.6,0,814,-36.7875,142.5125
