#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv"
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data Owner Name,Data Owner Code
210014,Rouchel Brook at Rouchel Brook (The Vale),-32.1531,151.0474,NSW,399.7,Water NSW,w00231
210016,Goulburn River at Kerrabee,-32.42,150.32,NSW,4982,Water NSW,w00231
210017,Moonan Brook at Moonan Brook,-31.9437,151.2797,NSW,105.0,Water NSW,w00231
210022,Allyn River at Halton,-32.3078,151.5117,NSW,188.5,Water NSW,w00231
210031,Goulburn River at Sandy Hollow,-32.35,150.57,NSW,6818,Water NSW,w00231
210040,Wybong Creek at Wybong,-32.2708,150.6349,NSW,670.8,Water NSW,w00231
210052,Pages River at Gundy Recorder,-32.0119,150.9965,NSW,1069,Water NSW,w00231
211009,Wyong River at Gracemere,-33.2724,151.3593,NSW,237.6,Water NSW,w00231
211013,Ourimbah Creek u/s Weir,-33.3497,151.3428,NSW,82.3,Water NSW,w00231
211014,Wyong River at Yarramalong,-33.2198,151.2734,NSW,180.4,Water NSW,w00231
212040,Kialla Creek at Pomeroy,-34.6089,149.5431,NSW,92.7,Water NSW,w00231
212209,Nepean River at Maguires Crossing,-34.476507,150.53375,NSW,67.4,Water NSW,w00231
212260,Kowmung River at Cedar Ford,-33.94734,150.24375,NSW,713.0,Water NSW,w00231
215004,Corang River at Hockeys,-35.1471,150.0329,NSW,165.6,Water NSW,w00231
215207,Shoalhaven River at Fossickers Flat,-34.8217,150.1833,NSW,4660,Water NSW,w00231
216002,Clyde River at Brooman,-35.4681,150.23625,NSW,859.0,Water NSW,w00231
216009,Buckenbowra River at Buckenbowra No.3,-35.714,150.0342,NSW,165.5,Water NSW,w00231
218001,Tuross River at Tuross Vale,-36.26465,149.51035,NSW,90.6,Water NSW,w00231
218005,Tuross River downstream Wadbilliga River Junction,-36.1975,149.7606,NSW,918.0,Water NSW,w00231
218007,Wadbilliga River at Wadbilliga,-36.2586,149.6914,NSW,120.2,Water NSW,w00231
218008,Tuross River at Eurobodalla,-36.13,150.0,NSW,1607,Water NSW,w00231
