EventID,Duration,TimeStep,Region,Area,Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583,720,30,Central Slopes,200,3.37,4.87,4.17,2.54,3.36,1.59,0.9,1.14,0.63,1.67,2.01,1.03,0.62,3.18,4.67,4.22,5.71,6.42,11.03,14.44,9.28,4.65,5.82,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,720,30,Central Slopes,200,3.12,7.61,9.54,4.5,3.14,5,3.2,4.53,6.5,3.18,5.94,7.21,8.18,4.28,2.33,2.66,2.4,1.87,3.02,2.86,3.03,1.77,2,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585,720,30,Central Slopes,500,0.47,0.25,3,2.38,4.45,3.73,2.44,1.43,0.51,4.51,3.3,5.97,3.22,4.42,5.49,9.56,8.13,7.72,7.91,8.99,6.17,3.64,1.43,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,720,30,Central Slopes,500,1.78,2.87,3.05,4.39,3.41,3.82,4.27,5.73,6.16,7.85,6.68,7.64,9.36,8.9,8.74,4.64,2.3,1.71,1.87,1.53,0.78,0.38,0.4,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3587,720,30,Central Slopes,500,0.82,2.83,3.77,2.97,3.57,2.77,4.92,5.19,5.27,4.03,4.25,3.64,4.22,6.9,5.15,3.67,5.7,5.71,7.36,4.45,4.58,3.11,2.36,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,720,30,Central Slopes,500,10.77,9,3.1,0.92,0.03,0.68,0.2,0.01,0,0,0,0.87,0.23,0.89,5.17,9.45,6.49,8.44,3.74,5.41,15.13,9.08,6.74,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3589,720,30,Central Slopes,500,2.64,3.3,3.71,2.54,2.45,3.5,3.26,3.33,4.06,4.04,5.42,4.86,5.76,6.35,7.03,6.53,5.51,5.08,4.12,3.94,3.15,2.74,3.73,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3590,720,30,Central Slopes,500,3.31,3.74,1.21,1.72,3.85,6.9,5.47,4.65,3.53,1.48,3.04,2.75,3.05,3.31,4.14,1.57,3.17,6.44,2.92,5.81,4.89,7.87,9.02,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,720,30,Central Slopes,500,3.57,2.19,2.91,3.7,1.71,3.58,1.88,4.04,2.56,3.97,2.86,2.06,3.4,4.27,6.08,4.71,9.19,7.42,4.73,3.33,6.01,4.87,4.37,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3592,720,30,Central Slopes,500,2.09,2.13,1.97,2.2,2.84,4.06,4.1,3.71,3.63,4.16,4.64,5.93,5.83,5.81,5.34,4.93,2.58,2.53,1.47,3.57,6.34,8.35,8.73,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
