EventID,Duration,TimeStep,Region,Area,Increments
7152,720,30,Southern Slopes (Tasmania),500,5.19,7.44,8.52,6.18,3.26,4.02,3.94,4,3.8,2.55,3.34,4.15,3.76,1.9,4.19,4.88,3.55,4.46,4.46,2.56,3.61,3.36,3.24,3.64
7153,720,30,Southern Slopes (Tasmania),500,3.59,3.42,2.45,2.74,3.86,5.23,2.49,4.62,5.61,5.47,4.96,7.05,3.24,1.49,1.56,2.42,2.09,3.97,5.01,1.78,4.81,3.04,8.63,10.47
7154,720,30,Southern Slopes (Tasmania),500,2.74,2.51,0.95,0.97,3.43,5.19,4.14,2.55,4.86,1.95,3.89,11.12,7.44,5.85,4.69,6.7,6.97,5.93,3.96,2.75,3.39,2.47,3.8,1.75
7155,720,30,Southern Slopes (Tasmania),500,3.84,5.18,4.75,2.79,2.79,2.85,2.91,2.4,1.71,4.03,5.21,4.53,5.3,4.36,3.74,3.28,5.09,4.04,5.18,5.3,5.63,4.86,4.95,5.28
7156,720,30,Southern Slopes (Tasmania),500,2.11,2.52,2.77,2.43,2.16,2.07,2.05,1.63,2.85,2.91,2.65,3.6,4.89,4.93,7.84,9.22,5.82,6.31,5.45,4.77,7.54,7.64,2.79,3.05
7157,720,30,Southern Slopes (Tasmania),500,4.25,2.74,2.74,3.85,4.17,4.12,4.08,5.14,5.91,5.07,5.52,5.55,4.99,4.83,4.5,4.05,4.08,3.86,3.83,3.69,3.61,3.93,3.04,2.45
7158,720,30,Southern Slopes (Tasmania),500,2.54,2.15,2.66,3.3,3.31,2.69,2.53,2.5,3.44,5.55,5.43,4.83,5,4.68,6.31,5.55,4,4.92,4.25,3.98,7.81,4.22,4.53,3.82
7159,720,30,Southern Slopes (Tasmania),1000,3.3,3.5,4.57,5.91,4.79,4.9,5.95,3.31,1.02,2.02,3.11,2.81,3.79,4.84,2.95,5.36,5.85,6.81,3.77,3.52,3.31,3.44,3.87,7.3
7160,720,30,Southern Slopes (Tasmania),1000,2.45,4.05,2.47,3.96,2.58,2.44,2.3,3.7,2.76,2.11,2.26,2.82,3.7,5.55,5.73,6.59,7.43,7.77,6.54,4.1,4.27,5.63,4.53,4.26
7161,720,30,Southern Slopes (Tasmania),1000,5.84,5.42,6.38,6.2,7.91,5.83,5.05,5.36,2.99,2.79,3.29,2.91,3.91,6.51,3.6,1.81,2.26,1.39,1.26,2.92,5.18,5.51,4.13,1.55
7162,720,30,Southern Slopes (Tasmania),1000,2.47,2.36,3.73,4.44,1.57,2.11,2.65,4.07,3.76,4.39,4.12,4.3,4.46,4.13,4.2,4.57,4.3,7.64,7.17,6.75,4.59,4.41,4.41,3.4
7163,720,30,Southern Slopes (Tasmania),1000,3.73,6.47,6.22,3.51,4.59,2.34,1.69,0.8,0.61,1.61,7.1,2.93,3.56,6.46,7.19,11.42,5.66,4.19,3.42,2.49,3.49,3.12,4.15,3.25
7164,720,30,Southern Slopes (Tasmania),1000,1.53,1.9,1.16,1.4,3.52,2.97,3.01,5.14,3.91,3.38,2.24,7.36,10.03,7.05,7.33,8.15,6.4,3.45,3.43,3.01,3.02,3.77,4.18,2.66
7165,720,30,Southern Slopes (Tasmania),1000,6.26,8.62,11.18,3.82,4.22,4.69,3.32,3.55,4.05,3.58,5.69,1.99,2.46,2.28,2.23,3.13,4.64,0.22,0.61,0.73,0.93,7.82,8.36,5.62
7166,720,30,Southern Slopes (Tasmania),1000,1.45,2.41,3.6,3.08,2.83,3.4,2.73,3.22,5.29,5.9,6.38,5.13,4.74,5.61,5.29,4.86,3.15,5.47,6.48,5.17,5.49,3.88,2.64,1.8
7167,720,30,Southern Slopes (Tasmania),1000,4.16,6.49,6.24,7.49,5.93,7.11,8.06,6.33,5.63,4.5,2.9,3.57,4.41,5.51,5.18,5.4,3.1,2.24,2.01,1.11,0.88,0.62,0.62,0.51
